id,name,apiName,category,effect,target,status,reason
328,Sand Tomb,sand-tomb,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
329,Sheer Cold,sheer-cold,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
330,Muddy Water,muddy-water,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
331,Bullet Seed,bullet-seed,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
332,Aerial Ace,aerial-ace,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
333,Icicle Spear,icicle-spear,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
334,Iron Defense,iron-defense,status,StatChange,user,implemented,effect handler present: statchange
335,Block,block,status,None,selected-pokemon,todo,no explicit mechanic handler
336,Howl,howl,status,StatChange,user-and-allies,partial,multi-target semantic may differ in singles-first mode
337,Dragon Claw,dragon-claw,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
338,Frenzy Plant,frenzy-plant,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
339,Bulk Up,bulk-up,status,StatChange,user,implemented,effect handler present: statchange
340,Bounce,bounce,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
341,Mud Shot,mud-shot,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
342,Poison Tail,poison-tail,physical,Poison,selected-pokemon,implemented,effect handler present: poison
343,Covet,covet,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
344,Volt Tackle,volt-tackle,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
345,Magical Leaf,magical-leaf,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
346,Water Sport,water-sport,status,None,entire-field,todo,no explicit mechanic handler
347,Calm Mind,calm-mind,status,StatChange,user,implemented,effect handler present: statchange
348,Leaf Blade,leaf-blade,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
349,Dragon Dance,dragon-dance,status,StatChange,user,implemented,hardcoded name rule present
350,Rock Blast,rock-blast,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
351,Shock Wave,shock-wave,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
352,Water Pulse,water-pulse,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
353,Doom Desire,doom-desire,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
354,Psycho Boost,psycho-boost,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
355,Roost,roost,status,None,user,todo,no explicit mechanic handler
356,Gravity,gravity,status,None,entire-field,todo,no explicit mechanic handler
357,Miracle Eye,miracle-eye,status,None,selected-pokemon,implemented,hardcoded name rule present
358,Wake Up Slap,wake-up-slap,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
359,Hammer Arm,hammer-arm,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
360,Gyro Ball,gyro-ball,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
361,Healing Wish,healing-wish,status,None,user,todo,no explicit mechanic handler
362,Brine,brine,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
363,Natural Gift,natural-gift,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
364,Feint,feint,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
365,Pluck,pluck,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
366,Tailwind,tailwind,status,None,users-field,todo,no explicit mechanic handler
367,Acupressure,acupressure,status,None,user-or-ally,todo,no explicit mechanic handler
368,Metal Burst,metal-burst,physical,None,specific-move,partial,base damage path likely works; special mechanic not confirmed
369,U Turn,u-turn,physical,None,selected-pokemon,implemented,hardcoded name rule present
370,Close Combat,close-combat,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
371,Payback,payback,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
372,Assurance,assurance,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
373,Embargo,embargo,status,None,selected-pokemon,todo,no explicit mechanic handler
374,Fling,fling,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
375,Psycho Shift,psycho-shift,status,None,selected-pokemon,todo,no explicit mechanic handler
376,Trump Card,trump-card,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
377,Heal Block,heal-block,status,None,all-opponents,todo,no explicit mechanic handler
378,Wring Out,wring-out,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
379,Power Trick,power-trick,status,None,user,todo,no explicit mechanic handler
380,Gastro Acid,gastro-acid,status,None,selected-pokemon,todo,no explicit mechanic handler
381,Lucky Chant,lucky-chant,status,None,users-field,todo,no explicit mechanic handler
382,Me First,me-first,status,None,selected-pokemon-me-first,todo,no explicit mechanic handler
383,Copycat,copycat,status,None,user,todo,no explicit mechanic handler
384,Power Swap,power-swap,status,None,selected-pokemon,todo,no explicit mechanic handler
385,Guard Swap,guard-swap,status,None,selected-pokemon,todo,no explicit mechanic handler
386,Punishment,punishment,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
387,Last Resort,last-resort,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
388,Worry Seed,worry-seed,status,None,selected-pokemon,todo,no explicit mechanic handler
389,Sucker Punch,sucker-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
390,Toxic Spikes,toxic-spikes,status,None,opponents-field,todo,no explicit mechanic handler
391,Heart Swap,heart-swap,status,None,selected-pokemon,todo,no explicit mechanic handler
392,Aqua Ring,aqua-ring,status,None,user,todo,no explicit mechanic handler
393,Magnet Rise,magnet-rise,status,None,user,todo,no explicit mechanic handler
394,Flare Blitz,flare-blitz,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
395,Force Palm,force-palm,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
396,Aura Sphere,aura-sphere,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
397,Rock Polish,rock-polish,status,StatChange,user,implemented,effect handler present: statchange
398,Poison Jab,poison-jab,physical,Poison,selected-pokemon,implemented,effect handler present: poison
399,Dark Pulse,dark-pulse,special,Flinch,selected-pokemon,implemented,effect handler present: flinch
400,Night Slash,night-slash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
401,Aqua Tail,aqua-tail,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
402,Seed Bomb,seed-bomb,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
403,Air Slash,air-slash,special,Flinch,selected-pokemon,implemented,effect handler present: flinch
404,X Scissor,x-scissor,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
405,Bug Buzz,bug-buzz,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
406,Dragon Pulse,dragon-pulse,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
407,Dragon Rush,dragon-rush,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
408,Power Gem,power-gem,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
409,Drain Punch,drain-punch,physical,Drain,selected-pokemon,implemented,effect handler present: drain
410,Vacuum Wave,vacuum-wave,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
411,Focus Blast,focus-blast,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
412,Energy Ball,energy-ball,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
413,Brave Bird,brave-bird,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
414,Earth Power,earth-power,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
415,Switcheroo,switcheroo,status,None,selected-pokemon,todo,no explicit mechanic handler
416,Giga Impact,giga-impact,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
417,Nasty Plot,nasty-plot,status,StatChange,user,implemented,effect handler present: statchange
418,Bullet Punch,bullet-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
419,Avalanche,avalanche,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
420,Ice Shard,ice-shard,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
421,Shadow Claw,shadow-claw,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
422,Thunder Fang,thunder-fang,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
423,Ice Fang,ice-fang,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
424,Fire Fang,fire-fang,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
425,Shadow Sneak,shadow-sneak,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
426,Mud Bomb,mud-bomb,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
427,Psycho Cut,psycho-cut,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
428,Zen Headbutt,zen-headbutt,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
429,Mirror Shot,mirror-shot,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
430,Flash Cannon,flash-cannon,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
431,Rock Climb,rock-climb,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
432,Defog,defog,status,None,selected-pokemon,todo,no explicit mechanic handler
433,Trick Room,trick-room,status,None,entire-field,implemented,hardcoded name rule present
434,Draco Meteor,draco-meteor,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
435,Discharge,discharge,special,Paralyze,all-other-pokemon,implemented,effect handler present: paralyze
436,Lava Plume,lava-plume,special,Burn,all-other-pokemon,implemented,effect handler present: burn
437,Leaf Storm,leaf-storm,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
438,Power Whip,power-whip,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
439,Rock Wrecker,rock-wrecker,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
440,Cross Poison,cross-poison,physical,Poison,selected-pokemon,implemented,effect handler present: poison
441,Gunk Shot,gunk-shot,physical,Poison,selected-pokemon,implemented,effect handler present: poison
442,Iron Head,iron-head,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
443,Magnet Bomb,magnet-bomb,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
444,Stone Edge,stone-edge,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
445,Captivate,captivate,status,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
446,Stealth Rock,stealth-rock,status,None,opponents-field,todo,no explicit mechanic handler
447,Grass Knot,grass-knot,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
448,Chatter,chatter,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
449,Judgment,judgment,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
450,Bug Bite,bug-bite,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
451,Charge Beam,charge-beam,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
452,Wood Hammer,wood-hammer,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
453,Aqua Jet,aqua-jet,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
454,Attack Order,attack-order,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
455,Defend Order,defend-order,status,StatChange,user,implemented,effect handler present: statchange
456,Heal Order,heal-order,status,None,user,todo,no explicit mechanic handler
457,Head Smash,head-smash,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
458,Double Hit,double-hit,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
459,Roar Of Time,roar-of-time,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
460,Spacial Rend,spacial-rend,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
461,Lunar Dance,lunar-dance,status,None,user,todo,no explicit mechanic handler
462,Crush Grip,crush-grip,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
463,Magma Storm,magma-storm,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
464,Dark Void,dark-void,status,Sleep,all-opponents,partial,multi-target semantic may differ in singles-first mode
465,Seed Flare,seed-flare,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
466,Ominous Wind,ominous-wind,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
467,Shadow Force,shadow-force,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
468,Hone Claws,hone-claws,status,StatChange,user,implemented,effect handler present: statchange
469,Wide Guard,wide-guard,status,None,users-field,todo,no explicit mechanic handler
470,Guard Split,guard-split,status,None,selected-pokemon,todo,no explicit mechanic handler
471,Power Split,power-split,status,None,selected-pokemon,todo,no explicit mechanic handler
472,Wonder Room,wonder-room,status,None,entire-field,todo,no explicit mechanic handler
473,Psyshock,psyshock,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
474,Venoshock,venoshock,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
475,Autotomize,autotomize,status,StatChange,user,implemented,effect handler present: statchange
476,Rage Powder,rage-powder,status,None,user,todo,no explicit mechanic handler
477,Telekinesis,telekinesis,status,None,selected-pokemon,todo,no explicit mechanic handler
478,Magic Room,magic-room,status,None,entire-field,todo,no explicit mechanic handler
479,Smack Down,smack-down,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
480,Storm Throw,storm-throw,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
481,Flame Burst,flame-burst,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
482,Sludge Wave,sludge-wave,special,Poison,all-other-pokemon,implemented,effect handler present: poison
483,Quiver Dance,quiver-dance,status,StatChange,user,implemented,effect handler present: statchange
484,Heavy Slam,heavy-slam,physical,None,selected-pokemon,implemented,hardcoded name rule present
485,Synchronoise,synchronoise,special,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
486,Electro Ball,electro-ball,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
487,Soak,soak,status,None,selected-pokemon,todo,no explicit mechanic handler
488,Flame Charge,flame-charge,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
489,Coil,coil,status,StatChange,user,implemented,effect handler present: statchange
490,Low Sweep,low-sweep,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
491,Acid Spray,acid-spray,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
492,Foul Play,foul-play,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
493,Simple Beam,simple-beam,status,None,selected-pokemon,todo,no explicit mechanic handler
494,Entrainment,entrainment,status,None,selected-pokemon,todo,no explicit mechanic handler
495,After You,after-you,status,None,selected-pokemon,todo,no explicit mechanic handler
496,Round,round,special,None,selected-pokemon,implemented,hardcoded name rule present
497,Echoed Voice,echoed-voice,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
498,Chip Away,chip-away,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
499,Clear Smog,clear-smog,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
500,Stored Power,stored-power,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
501,Quick Guard,quick-guard,status,None,users-field,todo,no explicit mechanic handler
502,Ally Switch,ally-switch,status,None,user,todo,no explicit mechanic handler
503,Scald,scald,special,Burn,selected-pokemon,implemented,effect handler present: burn
504,Shell Smash,shell-smash,status,StatChange,user,implemented,effect handler present: statchange
505,Heal Pulse,heal-pulse,status,None,selected-pokemon,todo,no explicit mechanic handler
506,Hex,hex,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
507,Sky Drop,sky-drop,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
508,Shift Gear,shift-gear,status,StatChange,user,implemented,effect handler present: statchange
509,Circle Throw,circle-throw,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
510,Incinerate,incinerate,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
511,Quash,quash,status,None,selected-pokemon,todo,no explicit mechanic handler
512,Acrobatics,acrobatics,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
513,Reflect Type,reflect-type,status,None,selected-pokemon,todo,no explicit mechanic handler
514,Retaliate,retaliate,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
515,Final Gambit,final-gambit,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
516,Bestow,bestow,status,None,selected-pokemon,todo,no explicit mechanic handler
517,Inferno,inferno,special,Burn,selected-pokemon,implemented,effect handler present: burn
518,Water Pledge,water-pledge,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
519,Fire Pledge,fire-pledge,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
520,Grass Pledge,grass-pledge,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
521,Volt Switch,volt-switch,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
522,Struggle Bug,struggle-bug,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
523,Bulldoze,bulldoze,physical,StatChange,all-other-pokemon,implemented,effect handler present: statchange
524,Frost Breath,frost-breath,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
525,Dragon Tail,dragon-tail,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
526,Work Up,work-up,status,StatChange,user,implemented,effect handler present: statchange
527,Electroweb,electroweb,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
528,Wild Charge,wild-charge,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
529,Drill Run,drill-run,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
530,Dual Chop,dual-chop,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
531,Heart Stamp,heart-stamp,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
532,Horn Leech,horn-leech,physical,Drain,selected-pokemon,implemented,effect handler present: drain
533,Sacred Sword,sacred-sword,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
534,Razor Shell,razor-shell,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
535,Heat Crash,heat-crash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
536,Leaf Tornado,leaf-tornado,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
537,Steamroller,steamroller,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
538,Cotton Guard,cotton-guard,status,StatChange,user,implemented,effect handler present: statchange
539,Night Daze,night-daze,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
540,Psystrike,psystrike,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
541,Tail Slap,tail-slap,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
542,Hurricane,hurricane,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
543,Head Charge,head-charge,physical,Recoil,selected-pokemon,implemented,effect handler present: recoil
544,Gear Grind,gear-grind,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
545,Searing Shot,searing-shot,special,Burn,all-other-pokemon,implemented,effect handler present: burn
546,Techno Blast,techno-blast,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
547,Relic Song,relic-song,special,Sleep,all-opponents,partial,multi-target semantic may differ in singles-first mode
548,Secret Sword,secret-sword,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
549,Glaciate,glaciate,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
550,Bolt Strike,bolt-strike,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
551,Blue Flare,blue-flare,special,Burn,selected-pokemon,implemented,effect handler present: burn
552,Fiery Dance,fiery-dance,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
553,Freeze Shock,freeze-shock,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
554,Ice Burn,ice-burn,special,Burn,selected-pokemon,implemented,effect handler present: burn
555,Snarl,snarl,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
556,Icicle Crash,icicle-crash,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
557,V Create,v-create,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
558,Fusion Flare,fusion-flare,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
559,Fusion Bolt,fusion-bolt,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
560,Flying Press,flying-press,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
561,Mat Block,mat-block,status,None,users-field,todo,no explicit mechanic handler
562,Belch,belch,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
563,Rototiller,rototiller,status,StatChange,all-pokemon,partial,multi-target semantic may differ in singles-first mode
564,Sticky Web,sticky-web,status,None,opponents-field,todo,no explicit mechanic handler
565,Fell Stinger,fell-stinger,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
566,Phantom Force,phantom-force,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
567,Trick Or Treat,trick-or-treat,status,None,selected-pokemon,todo,no explicit mechanic handler
568,Noble Roar,noble-roar,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
569,Ion Deluge,ion-deluge,status,None,entire-field,todo,no explicit mechanic handler
570,Parabolic Charge,parabolic-charge,special,Drain,all-other-pokemon,implemented,effect handler present: drain
571,Forests Curse,forests-curse,status,None,selected-pokemon,todo,no explicit mechanic handler
572,Petal Blizzard,petal-blizzard,physical,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
573,Freeze Dry,freeze-dry,special,Freeze,selected-pokemon,implemented,effect handler present: freeze
574,Disarming Voice,disarming-voice,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
575,Parting Shot,parting-shot,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
576,Topsy Turvy,topsy-turvy,status,None,selected-pokemon,todo,no explicit mechanic handler
577,Draining Kiss,draining-kiss,special,Drain,selected-pokemon,implemented,effect handler present: drain
578,Crafty Shield,crafty-shield,status,None,users-field,todo,no explicit mechanic handler
579,Flower Shield,flower-shield,status,StatChange,all-pokemon,partial,multi-target semantic may differ in singles-first mode
580,Grassy Terrain,grassy-terrain,status,None,entire-field,todo,no explicit mechanic handler
581,Misty Terrain,misty-terrain,status,None,entire-field,todo,no explicit mechanic handler
582,Electrify,electrify,status,None,selected-pokemon,todo,no explicit mechanic handler
583,Play Rough,play-rough,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
584,Fairy Wind,fairy-wind,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
585,Moonblast,moonblast,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
586,Boomburst,boomburst,special,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
587,Fairy Lock,fairy-lock,status,None,entire-field,todo,no explicit mechanic handler
588,Kings Shield,kings-shield,status,None,user,todo,no explicit mechanic handler
589,Play Nice,play-nice,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
590,Confide,confide,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
591,Diamond Storm,diamond-storm,physical,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
592,Steam Eruption,steam-eruption,special,Burn,selected-pokemon,implemented,effect handler present: burn
593,Hyperspace Hole,hyperspace-hole,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
594,Water Shuriken,water-shuriken,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
595,Mystical Fire,mystical-fire,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
596,Spiky Shield,spiky-shield,status,None,user,todo,no explicit mechanic handler
597,Aromatic Mist,aromatic-mist,status,StatChange,ally,implemented,effect handler present: statchange
598,Eerie Impulse,eerie-impulse,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
599,Venom Drench,venom-drench,status,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
600,Powder,powder,status,None,selected-pokemon,todo,no explicit mechanic handler
601,Geomancy,geomancy,status,StatChange,user,implemented,effect handler present: statchange
602,Magnetic Flux,magnetic-flux,status,StatChange,user-and-allies,partial,multi-target semantic may differ in singles-first mode
603,Happy Hour,happy-hour,status,None,users-field,todo,no explicit mechanic handler
604,Electric Terrain,electric-terrain,status,None,entire-field,todo,no explicit mechanic handler
605,Dazzling Gleam,dazzling-gleam,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
606,Celebrate,celebrate,status,None,user,todo,no explicit mechanic handler
607,Hold Hands,hold-hands,status,None,ally,todo,no explicit mechanic handler
608,Baby Doll Eyes,baby-doll-eyes,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
609,Nuzzle,nuzzle,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
610,Hold Back,hold-back,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
611,Infestation,infestation,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
612,Power Up Punch,power-up-punch,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
613,Oblivion Wing,oblivion-wing,special,Drain,selected-pokemon,implemented,effect handler present: drain
614,Thousand Arrows,thousand-arrows,physical,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
615,Thousand Waves,thousand-waves,physical,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
616,Lands Wrath,lands-wrath,physical,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
617,Light Of Ruin,light-of-ruin,special,Recoil,selected-pokemon,implemented,effect handler present: recoil
618,Origin Pulse,origin-pulse,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
619,Precipice Blades,precipice-blades,physical,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
620,Dragon Ascent,dragon-ascent,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
621,Hyperspace Fury,hyperspace-fury,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
622,Breakneck Blitz  Physical,breakneck-blitz--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
623,Breakneck Blitz  Special,breakneck-blitz--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
624,All Out Pummeling  Physical,all-out-pummeling--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
625,All Out Pummeling  Special,all-out-pummeling--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
626,Supersonic Skystrike  Physical,supersonic-skystrike--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
627,Supersonic Skystrike  Special,supersonic-skystrike--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
628,Acid Downpour  Physical,acid-downpour--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
629,Acid Downpour  Special,acid-downpour--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
630,Tectonic Rage  Physical,tectonic-rage--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
631,Tectonic Rage  Special,tectonic-rage--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
632,Continental Crush  Physical,continental-crush--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
633,Continental Crush  Special,continental-crush--special,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
634,Savage Spin Out  Physical,savage-spin-out--physical,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
